"session_user_id","access_group_id","submission_time","submission_id","d04cfc539df5644c1031d66b70f1cd31_54001468354278f7916ba17720807d40","d04cfc539df5644c1031d66b70f1cd31_83eb3d85e513fa2f21415706e35fbc9f","d04cfc539df5644c1031d66b70f1cd31_8c3b1a568f7006c68c39a191aca42916","d04cfc539df5644c1031d66b70f1cd31_ca110f29b4e1bdd8e130fb90606634b0","d04cfc539df5644c1031d66b70f1cd31_f49220e95ad6c3bf80d74a42c5a5db8f","157a512cb510d50ca92bff9fdb20d997_a55bfd5253a6dcd53d502071e70e9199","157a512cb510d50ca92bff9fdb20d997_b0b3d1559009c5878d095f95436eae01","157a512cb510d50ca92bff9fdb20d997_2556401ebd2fb47185f1e05ac74a64d1","157a512cb510d50ca92bff9fdb20d997_8ff1b1a358963894c731ce0be77168dc","157a512cb510d50ca92bff9fdb20d997_02a913949baa00f44e8ea0704fcd20ef","d0f97547e80fca82acefa0628faf70df_db903affc6e160023e5888169991195c","d0f97547e80fca82acefa0628faf70df_1eabf84be2b40c98af16621ec3e4ee6f","d0f97547e80fca82acefa0628faf70df_bcdd4b33b784ba04aafba76946e65ae5","d0f97547e80fca82acefa0628faf70df_1c1d42898ea7d3efb30b91cb2c05c503","d0f97547e80fca82acefa0628faf70df_f45b4677ba50ae96c641220cad37fb62","0a777fe10ee5d4e99b77ef97f29a043e_3a6b0d8e51961ce920eef50f903860b2","0a777fe10ee5d4e99b77ef97f29a043e_5b289b257c989211febb24e003d865cc","0a777fe10ee5d4e99b77ef97f29a043e_bb88cdc939c92b9dbb59fde0257af9fc","0a777fe10ee5d4e99b77ef97f29a043e_7860584e6283a9be885581f6a314d435","0a777fe10ee5d4e99b77ef97f29a043e_7bfddff3286f851ae913021c11606e0d","1cd87d197edece41ff14f9fcc83cf462_c1c31258560c1a4cba4131bb91e0e4a0","1cd87d197edece41ff14f9fcc83cf462_1f8b7791d63efb06560e9681e781568b","1cd87d197edece41ff14f9fcc83cf462_0e3c7065ef9a144ba4b706afc211e428","1cd87d197edece41ff14f9fcc83cf462_3f81f32804e58211a80a78754d1204a9","1cd87d197edece41ff14f9fcc83cf462_89b521f6f996160aa83eba239c460690","4baa6b71ef3ecafd3018ddc06e39a1de_13b318e1bf190996946c94313bac798d","4baa6b71ef3ecafd3018ddc06e39a1de_55726dd1ec16e3fb45a8587fa5ce39eb","4baa6b71ef3ecafd3018ddc06e39a1de_00abde09a2729c87964b506dbd0c460b","4baa6b71ef3ecafd3018ddc06e39a1de_c73281b30c199caf6bb5636de30035e8","4baa6b71ef3ecafd3018ddc06e39a1de_ec80577ac828eedf25cefefa3bc9e5d1","363d271329a55005ea171f84913b65a3_61670458cd9bfd6edd81b7e8370c1dbd","363d271329a55005ea171f84913b65a3_7e72d2462b3d24b8d371c18f9e736ee8","363d271329a55005ea171f84913b65a3_2950482ebacdc37781d0e08178ac5ef8","363d271329a55005ea171f84913b65a3_666786f1c2eab95eaf865638ba75355d","363d271329a55005ea171f84913b65a3_d1a36b3c621cc7ccb1e908dc965bf53e","363d271329a55005ea171f84913b65a3_50066f357da1c6ad825c84a97069ad8d","363d271329a55005ea171f84913b65a3_1f37cf453475ac031326a096c6a888fc","363d271329a55005ea171f84913b65a3_f313d5a8406cceb4928e0c6d84664f0c","600c67de5d63f112518353726fb86434_0cba7ea08f76185a2a6b70d560fe5951","600c67de5d63f112518353726fb86434_90bde39db505be442b19f097992f5993","600c67de5d63f112518353726fb86434_7e36a08f0ba3d14905a2d12d0a2dad32","600c67de5d63f112518353726fb86434_b148e476589880da2a9ec7e942cf622f","600c67de5d63f112518353726fb86434_1274e2a34a29976720c3b4128de17e44","600c67de5d63f112518353726fb86434_dbdd17071beda6a28d28fde76dda2bae","c4c625dd288ca1608158888c39aba325_b93118106df18596a520421c252d2e63","c4c625dd288ca1608158888c39aba325_554ff6436fd23aa28c8c0467298c933a","c4c625dd288ca1608158888c39aba325_70e00949f7b3c62d67d31c5aeddfb88b","c4c625dd288ca1608158888c39aba325_5fb1101d971bf2f43532936144739d73","c4c625dd288ca1608158888c39aba325_5db87ec61fcd717b3b6e8f6a83f5b8ee","c4c625dd288ca1608158888c39aba325_a8cba838c206c7692500536289153243","c4c625dd288ca1608158888c39aba325_83c39ad525dbd7f15d67568e81559869","86114969e67a0b710e1a9854ad69fbe9_65112c0db0c6bf3b8e466d9e31f38eaf","86114969e67a0b710e1a9854ad69fbe9_4886f58e1f4d7998adc48abda20299eb","86114969e67a0b710e1a9854ad69fbe9_0fbfe9efa7c5ff62e78771cc13f73334","86114969e67a0b710e1a9854ad69fbe9_ddd4c8deeb9f07faad81e6a1416f03e1","86114969e67a0b710e1a9854ad69fbe9_e850d80a3548b18f2ae2d43c8554e23f","fb409f09dabd9699bf7dc12f20835376_5b985fc36abf0b2f92f6464be12fe696","fb409f09dabd9699bf7dc12f20835376_6f6991432c4d0c49ce15da0b92ec164a","fb409f09dabd9699bf7dc12f20835376_f548a06eb6785edf35c2798b124eb9e2","fb409f09dabd9699bf7dc12f20835376_33cb3b8ba0a3a6769f57914eec2ae4bb"
"session_user_id","access_group_id","submission_time","submission_id","A web administrator is examining the web log file which provides information about people who visited his site. In the log file, the administrator sees a value for the internet protocol (IP) address of ""127.0.0.1"",  a user ID of ""frank"" for the individual accessing the file and ""2326"", measured in bytes, for the size of the file returned to the user. Which of the following are true?

Here is a description of a web log file in common log format: http://en.wikipedia.org/wiki/Common_Log_Format.

Here is a description of an IP address: http://en.wikipedia.org/wiki/IP_address","A web administrator is examining the web log file which provides information about people who visited his site. In the log file, the administrator sees a value for the internet protocol (IP) address of ""127.0.0.1"",  a user ID of ""frank"" for the individual accessing the file and ""2326"", measured in bytes, for the size of the file returned to the user. Which of the following are true?

Here is a description of a web log file in common log format: http://en.wikipedia.org/wiki/Common_Log_Format.

Here is a description of an IP address: http://en.wikipedia.org/wiki/IP_address","A web administrator is examining the web log file which provides information about people who visited his site. In the log file, the administrator sees a value for the internet protocol (IP) address of ""127.0.0.1"",  a user ID of ""frank"" for the individual accessing the file and ""2326"", measured in bytes, for the size of the file returned to the user. Which of the following are true?

Here is a description of a web log file in common log format: http://en.wikipedia.org/wiki/Common_Log_Format.

Here is a description of an IP address: http://en.wikipedia.org/wiki/IP_address","A web administrator is examining the web log file which provides information about people who visited his site. In the log file, the administrator sees a value for the internet protocol (IP) address of ""127.0.0.1"",  a user ID of ""frank"" for the individual accessing the file and ""2326"", measured in bytes, for the size of the file returned to the user. Which of the following are true?

Here is a description of a web log file in common log format: http://en.wikipedia.org/wiki/Common_Log_Format.

Here is a description of an IP address: http://en.wikipedia.org/wiki/IP_address","A web administrator is examining the web log file which provides information about people who visited his site. In the log file, the administrator sees a value for the internet protocol (IP) address of ""127.0.0.1"",  a user ID of ""frank"" for the individual accessing the file and ""2326"", measured in bytes, for the size of the file returned to the user. Which of the following are true?

Here is a description of a web log file in common log format: http://en.wikipedia.org/wiki/Common_Log_Format.

Here is a description of an IP address: http://en.wikipedia.org/wiki/IP_address","Suppose that random variable X follows a Poisson distribution with rate parameter L. If we increase the value of L, which of the following is true?","Suppose that random variable X follows a Poisson distribution with rate parameter L. If we increase the value of L, which of the following is true?","Suppose that random variable X follows a Poisson distribution with rate parameter L. If we increase the value of L, which of the following is true?","Suppose that random variable X follows a Poisson distribution with rate parameter L. If we increase the value of L, which of the following is true?","Suppose that random variable X follows a Poisson distribution with rate parameter L. If we increase the value of L, which of the following is true?","Run the following commands to create a data frame in R with measurements for 30 men describing their height in centimeters, weight in kilograms, and a logical indicator for whether they have a daughter or not. 

<pre><code> 
set.seed(31);
heightsCM = rnorm(30,mean=188, sd=5);
weightsK = rnorm(30,mean=84,sd=3); 
hasDaughter = sample(c(TRUE,FALSE),size=30,replace=T); 
dataFrame = data.frame(heightsCM,weightsK,hasDaughter); 
</pre></code> 

Subset the data frame to only the individuals that are greater than 188 centimeters tall. Assign this subset to a data frame called dataFrameSubset. Then run this command: mean(dataFrameSubset$weightsK) to get the average weight among this subset of men in the data. What is the value that is produced?

","Run the following commands to create a data frame in R with measurements for 30 men describing their height in centimeters, weight in kilograms, and a logical indicator for whether they have a daughter or not. 

<pre><code> 
set.seed(31);
heightsCM = rnorm(30,mean=188, sd=5);
weightsK = rnorm(30,mean=84,sd=3); 
hasDaughter = sample(c(TRUE,FALSE),size=30,replace=T); 
dataFrame = data.frame(heightsCM,weightsK,hasDaughter); 
</pre></code> 

Subset the data frame to only the individuals that are greater than 188 centimeters tall. Assign this subset to a data frame called dataFrameSubset. Then run this command: mean(dataFrameSubset$weightsK) to get the average weight among this subset of men in the data. What is the value that is produced?

","Run the following commands to create a data frame in R with measurements for 30 men describing their height in centimeters, weight in kilograms, and a logical indicator for whether they have a daughter or not. 

<pre><code> 
set.seed(31);
heightsCM = rnorm(30,mean=188, sd=5);
weightsK = rnorm(30,mean=84,sd=3); 
hasDaughter = sample(c(TRUE,FALSE),size=30,replace=T); 
dataFrame = data.frame(heightsCM,weightsK,hasDaughter); 
</pre></code> 

Subset the data frame to only the individuals that are greater than 188 centimeters tall. Assign this subset to a data frame called dataFrameSubset. Then run this command: mean(dataFrameSubset$weightsK) to get the average weight among this subset of men in the data. What is the value that is produced?

","Run the following commands to create a data frame in R with measurements for 30 men describing their height in centimeters, weight in kilograms, and a logical indicator for whether they have a daughter or not. 

<pre><code> 
set.seed(31);
heightsCM = rnorm(30,mean=188, sd=5);
weightsK = rnorm(30,mean=84,sd=3); 
hasDaughter = sample(c(TRUE,FALSE),size=30,replace=T); 
dataFrame = data.frame(heightsCM,weightsK,hasDaughter); 
</pre></code> 

Subset the data frame to only the individuals that are greater than 188 centimeters tall. Assign this subset to a data frame called dataFrameSubset. Then run this command: mean(dataFrameSubset$weightsK) to get the average weight among this subset of men in the data. What is the value that is produced?

","Run the following commands to create a data frame in R with measurements for 30 men describing their height in centimeters, weight in kilograms, and a logical indicator for whether they have a daughter or not. 

<pre><code> 
set.seed(31);
heightsCM = rnorm(30,mean=188, sd=5);
weightsK = rnorm(30,mean=84,sd=3); 
hasDaughter = sample(c(TRUE,FALSE),size=30,replace=T); 
dataFrame = data.frame(heightsCM,weightsK,hasDaughter); 
</pre></code> 

Subset the data frame to only the individuals that are greater than 188 centimeters tall. Assign this subset to a data frame called dataFrameSubset. Then run this command: mean(dataFrameSubset$weightsK) to get the average weight among this subset of men in the data. What is the value that is produced?

","Run a command to generate 100 Cauchy random variables with default parameters and assign them to a vector cauchyValues immediately after running the command 

<pre><code>
set.seed(41)
</pre></code>

Then run a command to sample 10 values with replacement from cauchyValues immediately after running the command 

<pre><code>
set.seed(415)
</pre></code>

 What are the first three values of the resulting sample? Note: It is critical that you run the set.seed commands immediately before the commands to perform the data generation and sampling or you will get the wrong answer. 
","Run a command to generate 100 Cauchy random variables with default parameters and assign them to a vector cauchyValues immediately after running the command 

<pre><code>
set.seed(41)
</pre></code>

Then run a command to sample 10 values with replacement from cauchyValues immediately after running the command 

<pre><code>
set.seed(415)
</pre></code>

 What are the first three values of the resulting sample? Note: It is critical that you run the set.seed commands immediately before the commands to perform the data generation and sampling or you will get the wrong answer. 
","Run a command to generate 100 Cauchy random variables with default parameters and assign them to a vector cauchyValues immediately after running the command 

<pre><code>
set.seed(41)
</pre></code>

Then run a command to sample 10 values with replacement from cauchyValues immediately after running the command 

<pre><code>
set.seed(415)
</pre></code>

 What are the first three values of the resulting sample? Note: It is critical that you run the set.seed commands immediately before the commands to perform the data generation and sampling or you will get the wrong answer. 
","Run a command to generate 100 Cauchy random variables with default parameters and assign them to a vector cauchyValues immediately after running the command 

<pre><code>
set.seed(41)
</pre></code>

Then run a command to sample 10 values with replacement from cauchyValues immediately after running the command 

<pre><code>
set.seed(415)
</pre></code>

 What are the first three values of the resulting sample? Note: It is critical that you run the set.seed commands immediately before the commands to perform the data generation and sampling or you will get the wrong answer. 
","Run a command to generate 100 Cauchy random variables with default parameters and assign them to a vector cauchyValues immediately after running the command 

<pre><code>
set.seed(41)
</pre></code>

Then run a command to sample 10 values with replacement from cauchyValues immediately after running the command 

<pre><code>
set.seed(415)
</pre></code>

 What are the first three values of the resulting sample? Note: It is critical that you run the set.seed commands immediately before the commands to perform the data generation and sampling or you will get the wrong answer. 
","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population. We explain we think that the reason for this relationship is because cigarette smoke contains known carcinogens such as arsenic and benzene, which make cells in the lungs become cancerous.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population. We explain we think that the reason for this relationship is because cigarette smoke contains known carcinogens such as arsenic and benzene, which make cells in the lungs become cancerous.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population. We explain we think that the reason for this relationship is because cigarette smoke contains known carcinogens such as arsenic and benzene, which make cells in the lungs become cancerous.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population. We explain we think that the reason for this relationship is because cigarette smoke contains known carcinogens such as arsenic and benzene, which make cells in the lungs become cancerous.","We take a random sample of individuals in a population and identify whether they smoke and if they have cancer. We observe that there is a strong relationship between whether a person in the sample smoked or not and whether they have lung cancer. We claim that the smoking is related to lung cancer in the larger population. We explain we think that the reason for this relationship is because cigarette smoke contains known carcinogens such as arsenic and benzene, which make cells in the lungs become cancerous.","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","Suppose that we collect data on every goal scored in the Spanish Primera Division (http://soccernet.espn.go.com/stats/scorers/_/league/esp.1/spanish-primera-division?cc=5901) in the 2011/2012 and 2012/2013 seasons. We use the data from 2011/2012 to build a model to predict the number of goals scored in 2012/2013. What is the complete list of labels that apply to this data set?","What are the three characteristics of tidy data?","What are the three characteristics of tidy data?","What are the three characteristics of tidy data?","What are the three characteristics of tidy data?","What are the three characteristics of tidy data?","What are the three characteristics of tidy data?","Which of the following are components of data processing that should be recorded for use in later data analyses?","Which of the following are components of data processing that should be recorded for use in later data analyses?","Which of the following are components of data processing that should be recorded for use in later data analyses?","Which of the following are components of data processing that should be recorded for use in later data analyses?","Which of the following are components of data processing that should be recorded for use in later data analyses?","Which of the following are components of data processing that should be recorded for use in later data analyses?","Which of the following are components of data processing that should be recorded for use in later data analyses?","When writing about data, what does it mean when we write: X | Y = y?","When writing about data, what does it mean when we write: X | Y = y?","When writing about data, what does it mean when we write: X | Y = y?","When writing about data, what does it mean when we write: X | Y = y?","When writing about data, what does it mean when we write: X | Y = y?","Suppose we take a sample of people in Baltimore and observe that younger people have taken more Coursera courses. We use an inferential data analysis to show a relationship between age and Coursera courses. Which of the following statements are true based only on our analysis?","Suppose we take a sample of people in Baltimore and observe that younger people have taken more Coursera courses. We use an inferential data analysis to show a relationship between age and Coursera courses. Which of the following statements are true based only on our analysis?","Suppose we take a sample of people in Baltimore and observe that younger people have taken more Coursera courses. We use an inferential data analysis to show a relationship between age and Coursera courses. Which of the following statements are true based only on our analysis?","Suppose we take a sample of people in Baltimore and observe that younger people have taken more Coursera courses. We use an inferential data analysis to show a relationship between age and Coursera courses. Which of the following statements are true based only on our analysis?"
"session_user_id","access_group_id","submission_time","submission_id","The IP address and the user ID are qualitative variables and the number of bytes returned is quantitative.","The IP address, user ID, and bytes returned are all qualitative variables.","The IP address and bytes returned are quantitative variables and the user ID is a qualitative variable.","The IP address is a quantitative variable and the user ID and bytes returned are qualitative variables.","The IP address, user ID, and bytes returned are all quantitative variables.","Both the spread and the center increase.","The spread increases but the center remains unchanged.","The center increases but the spread remains unchanged.","The center increases but the spread decreases.","The spread increases but the center decreases.","82.40639","83.77462","83.13611","83.14155","82.48989","0.8084719, -1.1122863, 0.3716671","-0.05093145,  6.66059126, -12.09755185","0.8084719, 1.7312325, 0.3716671","-0.6048402, -0.1723731, 0.5759071","The answer is none of the other options.","This is an example of an inferential data analysis.","This is an example of a descriptive data analysis.","This is an example of a causal data analysis.","This is an example of a predictive data analysis","This is an example of a mechanistic data analysis.","This is an example of an inferential data analysis.","This is an example of an descriptive data analysis.","This is an example of a causal data analysis.","This is an example of a predictive data analysis.","This is an example of a mechanistic data analysis.","Census, prediction, longitudinal","Only census","Only longitudinal","Only prediction","Prediction and longitudinal","Retrospective and longitudinal","Prediction and cross-sectional","Prediction, inferential, and longitudinal","1. Each variable forms a column, 2. Each observation forms a row, 3. Each table/file stores data about one kind of observation.","1. Each variable forms a column, 2. Each observation forms a row, 3. Quantitative and qualitative variables are stored in separate files/tables.","1. Each variable forms a column, 2. Each table is tab delimited, 3. Quantitative and qualitative variables are stored in separate files/tables.","1. Each observation forms a row, 2. No variable has missing values 3. Quantitative and qualitative variables are stored in separate files/tables.","1. Each variable forms a row, 2. Each observation forms a column, 3. Missing values are coded with NA.","1. Each observation forms a row, 2. Missing values are coded NA. 3.  Each table/file stores data about one kind of observation.","
Which missing values were removed","Which data files were merged together to create the processed data","Which variables were omitted because they were not relevant to the analysis","That a variable was log transformed to make it easier to analyze
","What day the data were downloaded from a website","The software used to process the raw data.","All of the above","We are referring to the random variable X when we know the random variable Y has value y. The distribution of this variable may be different than the distribution of the variable X when Y is also random.","We are referring to the random variable X when we know the random variable Y has value y. The distribution of this variable is the same as the distribution of the variable X when Y is also random.","We are referring to the random variable X when we know the random variable Y has a random value y.","We are referring to the random variable X when we know the random variable Y has value y. The expected value of this variable is the same as the expected value of the variable X when Y is also random.","We are referring to the random variable X when we know the random variable Y has value y. In this case, we know X also has value y.","If we took a census of all people in Baltimore, we would expect to see that the younger a person was, the more likely they were to have taken a Coursera course.","When comparing two people in Baltimore, the one who is younger will always have taken more Coursera courses.","If we took a census of all people in Boston, we would expect to see that the younger a person was, the more likely they were to have taken a Coursera course.","The reason that younger people take more Coursera courses is that they understand technology better."
"965",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","0","1","0","0","NULL","0","0","0","1","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","0","NULL","0","0","1","NULL","0","NULL","0","0","NULL","NULL","NULL","0","0","0","1","1","0","0","0","NULL","1","0","0","0"
"965",NA,NA,"2","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","1","0","NULL","0","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","0","NULL","0","1","0","0","NULL","NULL","0","NULL","0","0","NULL","NULL","0","1","1","0","NULL","0","0","1","0","0","0"
"1419",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","0","1","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","0","NULL","NULL","NULL","0","0","NULL","1","NULL","0","NULL","0","0","0","NULL","NULL","NULL","0","0","1","1","0","0","0","NULL","1","0","0","0"
"1419",NA,NA,"2","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","NULL","NULL","0","0","0","1","0","NULL","0","0","NULL","0","0","NULL","NULL","0","NULL","1","1","0","0","0","NULL","1","0","0","0"
"1386",NA,NA,"1","0","NULL","1","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","1","NULL","0","0","0","NULL","NULL","NULL","NULL","NULL","1","0","NULL","0","NULL","NULL","NULL","0","1","0","NULL","0","NULL","0","NULL","0","NULL","NULL","0","0","1","1","NULL","0","0","0","1","0","0","0"
"1386",NA,NA,"2","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","1","0","0","NULL","0","NULL","NULL","NULL","NULL","NULL","1","NULL","NULL","0","NULL","0","0","NULL","1","0","0","NULL","NULL","0","0","0","NULL","NULL","NULL","0","1","1","0","0","NULL","0","1","0","0","0"
"1194",NA,NA,"1","1","0","0","0","NULL","1","0","0","0","NULL","0","0","1","0","NULL","0","1","0","0","NULL","1","0","0","0","NULL","NULL","NULL","NULL","NULL","NULL","1","0","NULL","0","NULL","0","NULL","NULL","1","0","NULL","0","NULL","0","NULL","NULL","NULL","0","0","0","1","1","0","0","0","NULL","1","0","0","0"
"1164",NA,NA,"1","1","0","0","0","NULL","0","0","0","1","NULL","1","0","0","0","NULL","1","0","0","0","NULL","0","0","0","0","NULL","1","NULL","NULL","NULL","NULL","1","0","0","0","NULL","NULL","NULL","NULL","1","0","NULL","NULL","0","0","NULL","0","NULL","NULL","0","0","1","0","0","1","0","NULL","1","0","0","0"
